platform,komentar,timestamp,sentimen
Instagram,edited · 10 s,5/3/2025 21:46,netral
Instagram,dikasih yang cerdas malah pilih yang joget-joget😢,5/3/2025 21:46,netral
Instagram,rasakan pilihanmu e si paling 58%,5/3/2025 21:46,netral
Instagram,kan dr aal kampanye sudah . makanyku gak milih komandan tua ini alau dulu 2x aku milih,5/3/2025 21:46,netral
Instagram,sampe bingung mau share ke storang mana saking semua dah kacau😭,5/3/2025 21:46,netral
Instagram,yg katanynak abah udah move on anak abah gda sakit hatinya .. karena dengan adanya #indonesiagelap ini membuktikan pilihak abah pemilu lalu itu benar ☺️ makanya skrg bisa tersenyuenang 💪🏼,5/3/2025 21:46,positif
Instagram,dari duldah bilang uang darimana mau makan . eh pendukungnya bilang ya dari uang pribadi bisa gaya kan . noh makan kanga da,5/3/2025 21:46,netral
Instagram,udah dikasih tau dari aal tapi pada .. mf anak abaanya bisa tersenyum 😊,5/3/2025 21:46,netral
Instagram,udah di kasih anis pada ga nng oke gas oke gas😂,5/3/2025 21:46,netral
Instagram,terus harus anies gitu ? ogah daa 🤣,5/3/2025 21:46,netral
Instagram,sudah ku duga pasti kekisruhan tetap berlanjut setelah di lantiarna bukan pdip yang menang😂,5/3/2025 21:46,netral
Instagram,dikasih pilihan capres yg pinter eh pilihnya yg pinter joged 😂,5/3/2025 21:46,netral
Instagram,10 tahun dikasih eh nyobain lagi 5 tahun🤧,5/3/2025 21:46,netral
Instagram,ya kan dari aal udah di ajak malah mau . pak skrg itu bukan pak yg . skrg baru berasa? apa masih belum ngerasa?,5/3/2025 21:46,netral
Instagram,menuju indonesia (c)emas 🥰,5/3/2025 21:46,netral
Instagram,dari aal udah bilang sistemnya emang berkelanjutan 👀,5/3/2025 21:46,netral
Instagram,pakai trial youtube kalau masa uji coba udah bikin email . gitulah kira-,5/3/2025 21:46,netral
Instagram,dua kata lucu: second,5/3/2025 21:46,netral
Instagram,10698,5/3/2025 21:46,netral
Instagram,separah2nya 58 yg kecea dan baru sadar yg 58 gak sadar sama,5/3/2025 21:46,netral
Instagram,pencapaianku st ini ? tidak memilih 02 untuk meraat nalar,5/3/2025 21:46,netral
Instagram,kayaknya pas pemilu fomo 02 sama,5/3/2025 21:46,netral
Instagram,"yg pilih 58% "" penkan tini tapi kosong 😢",5/3/2025 21:46,netral
Instagram,🤡 : hidup jokoi hidup jokoi hidup,5/3/2025 21:46,netral
Instagram,aas postingaya dibungkam😂,5/3/2025 21:46,netral
Instagram,masuk nominasi presiden terkorup tapi jadi pengaas megaproyek(?),5/3/2025 21:46,netral
Instagram,dari aal udah dibilang bakal berkelanjutn ok gas oke ga😂😂,5/3/2025 21:46,netral
Instagram,makan tuh .,5/3/2025 21:46,netral
Instagram,58 itu biasanya yg bokapnya anknya doyan flexing 😂 nyari nafkah ko di politik miris ya 🙌,5/3/2025 21:46,netral
Instagram,dikasih sekolah gratis malah milih makan gratis🤡,5/3/2025 21:46,netral
