platform,komentar,timestamp,sentimen
Instagram,edited · 10 s,4/7/2025 13:17,Netral
Instagram,dikasih yang cerdas malah pilih yang joget-joget😢,4/13/2025 12:30,Netral
Instagram,rasakan pilihanmu e si paling 58%,3/22/2025 13:26,Netral
Instagram,kan dr aal kampanye sudah . makanyku gak milih komandan tua ini alau dulu 2x aku milih,4/20/2025 4:27,Netral
Instagram,sampe bingung mau share ke storang mana saking semua dah kacau😭,4/8/2025 16:30,Negatif
Instagram,yg katanynak abah udah move on anak abah gda sakit hatinya .. karena dengan adanya #indonesiagelap ini membuktikan pilihak abah pemilu lalu itu benar ☺️ makanya skrg bisa tersenyuenang 💪🏼,4/2/2025 18:17,Netral
Instagram,dari duldah bilang uang darimana mau makan . eh pendukungnya bilang ya dari uang pribadi bisa gaya kan . noh makan kanga da,4/7/2025 13:42,Netral
Instagram,udah dikasih tau dari aal tapi pada .. mf anak abaanya bisa tersenyum 😊,2/25/2025 4:08,Netral
Instagram,udah di kasih anis pada ga nng oke gas oke gas😂,4/29/2025 15:57,Positif
Instagram,terus harus anies gitu ? ogah daa 🤣,4/25/2025 21:05,Negatif
Instagram,sudah ku duga pasti kekisruhan tetap berlanjut setelah di lantiarna bukan pdip yang menang😂,4/16/2025 15:10,Netral
Instagram,dikasih pilihan capres yg pinter eh pilihnya yg pinter joged 😂,3/16/2025 13:13,Netral
Instagram,10 tahun dikasih eh nyobain lagi 5 tahun🤧,4/5/2025 19:45,Netral
Instagram,ya kan dari aal udah di ajak malah mau . pak skrg itu bukan pak yg . skrg baru berasa? apa masih belum ngerasa?,4/28/2025 1:40,Netral
Instagram,menuju indonesia (c)emas 🥰,4/18/2025 8:28,Positif
Instagram,dari aal udah bilang sistemnya emang berkelanjutan 👀,3/22/2025 6:35,Netral
Instagram,pakai trial youtube kalau masa uji coba udah bikin email . gitulah kira-,3/10/2025 21:29,Netral
Instagram,dua kata lucu: second,2/20/2025 5:32,Netral
Instagram,10698,3/24/2025 15:15,Netral
Instagram,separah2nya 58 yg kecea dan baru sadar yg 58 gak sadar sama,3/15/2025 12:20,Netral
Instagram,pencapaianku st ini ? tidak memilih 02 untuk meraat nalar,3/21/2025 10:47,Netral
Instagram,kayaknya pas pemilu fomo 02 sama,3/6/2025 14:11,Netral
Instagram,"yg pilih 58% "" penkan tini tapi kosong 😢",2/20/2025 21:56,Netral
Instagram,🤡 : hidup jokoi hidup jokoi hidup,3/29/2025 4:09,Positif
Instagram,aas postingaya dibungkam😂,4/16/2025 13:24,Netral
Instagram,masuk nominasi presiden terkorup tapi jadi pengaas megaproyek(?),2/21/2025 23:47,Netral
Instagram,dari aal udah dibilang bakal berkelanjutn ok gas oke ga😂😂,4/23/2025 15:29,Positif
Instagram,makan tuh .,4/30/2025 11:25,Netral
Instagram,58 itu biasanya yg bokapnya anknya doyan flexing 😂 nyari nafkah ko di politik miris ya 🙌,2/22/2025 11:44,Positif
Instagram,dikasih sekolah gratis malah milih makan gratis🤡,4/25/2025 13:07,Negatif
Instagram,🤣🤣😭😭 ng tapi lupa caranya…,2/25/2025 11:59,Netral
Instagram,yg paliebe jadi pemimpin sejak rp kalkut dan akhirnya kepilih banalah ini kan pilihan kalian? 🤮,3/21/2025 11:11,Netral
Instagram,salah ini lebih parah dari 2014 -,3/10/2025 21:02,Negatif
Instagram,aku paling respek sama org2 yg kmrn pilih tp tradar dan insyaf pilihaya . itu namanya sportif dan aras dan . palinedeg sama yg udh udh tau akhirnya tp msh h malah bilang org lain sakit hati gara2 gengsi atau emang udh mati logika yah? 🤔🤔🤔,3/10/2025 3:45,Netral
Instagram,harusnya itukan pilihan kalian semua😂,4/18/2025 16:25,Netral
Instagram,pantang mundur praboo gibran 🔥🔥,3/24/2025 0:40,Netral
Instagram,kaum 58% emang hobi,4/16/2025 9:25,Netral
Instagram,macan asia masa disetir kang kayu 😂,3/11/2025 20:25,Netral
Instagram,bukaya hidup rakyat lah ini mah makin udh keliatan,3/24/2025 16:32,Netral
Instagram,kenapa ya di salah satu platform banyak yg komentar tentang ketidaksukn merektas apa yg dilakukan oleh mahasisa yaitu demo? apakah sekarang dengan demo dianap merugikan masyarakat lain yg tidak demo? ada yg bilang kalo demo bikin susah orang yg mau berangkat kerjntar . ada jg yg bilang contoh orangtuanya pakai listrik yg diskonaknya malah ga . sebenernya efisiensi anaran ini tuh emang banyak dampak buruk atau baik nya? ada yg bisa jelaskan?,3/22/2025 17:04,Netral
Instagram,yg milih kudu ikuanung .,4/4/2025 20:23,Netral
Instagram,ya begitulah demokrasi disuguhkan ke orang2 yak mikir 😁 kemanja ? baru sadar,3/30/2025 6:25,Positif
Instagram,dibilangigeyel sih😂 is i lat tp gmn ya bingung karna siun kemarin yg menang p aja 02 . karna kubu mereka punya poer ordal,4/18/2025 16:12,Netral
